model,accuracy,precision,recall,f1,roc_auc
TF-IDF + Logistic Regression,0.89208,0.8892772041302621,0.89568,0.8924671183738542,0.9583341376
TF-IDF + Linear SVM,0.89228,0.8843169527392429,0.90264,0.8933845362049171,0.9581367872000002
